序号,日期,航煤90%回收温度,FI10201,TI10503,TE10310,TI10403,TI10406A,TI10408A,TI10409A,TI10411A,TI10412A,TI10413A,TI10414A,TI10425,PDI10404,TI10405,TI10417A,TI10419A,TI10421A,PDI10405,PI10602,FI10601,FI10706,FI10801,FI11006,FI20102,FI20105,FI20104,PI20301,FI20302,FI20301,TE20315,FI20501,TE20304,FI20402,FI20304,TE20302,FI20605,TE20305,TE20303,TE20402,PI20701,FI20701,TI20801,FI20901
1543,2019/9/29 20:00,223,262.6956177,374.6000061,466.7999878,350.9400024,357.5100098,375.7200012,367.7696838,389.4606628,387.9599915,396.7200012,400,402.4799805,253.0390778,393.8099976,396.6606445,394.410675,397.890686,195.8430023,2.714606762,182.6334991,32.05760193,93.21401978,70352.83594,26.84378242,218.814621,28.41498947,0.040659823,93.36250305,2.412029028,317.2000122,178.3568115,174.5,4.49068594,27.06796455,202.9009552,54.16695786,215.4009705,186.6000061,193.6999969,0.985247552,24.13172913,78.2249527,42.79736328
1544,2019/9/30 8:00,219,270.4219971,375.535675,462.8855286,348.3643799,354.7371826,374.1128235,365.8156128,389.0400085,387.1584167,396.9299927,400,404.3356018,254.4957733,392.3831482,395.8803406,393.9859619,398.5028076,201.0401917,2.719604492,189.6842651,32.00259018,93.7862854,73601.05469,27.21946144,227.4893341,28.1266098,0.043445755,100.7834625,2.394218206,316.6000061,180.6635437,175.3000031,0,32.9289093,204.3000031,61.05357742,222.3856964,187.8000031,195.9427643,0.967428565,25.55372047,76.91429138,46.59304047
1545,2019/9/30 20:00,222,271.3311157,375.660553,466.0106201,349.2363281,355.3531799,374.1300049,365.4868164,388.6673584,386.1836548,395.9005127,400,403.7999878,251.9617004,390.9236755,393.3900146,391.9483337,398.2026367,203.6947327,2.717968702,185.2596588,32.00263977,93.34287262,74113.89844,26.97205353,227.722702,27.76098633,0.040646471,99.38728333,2.415375233,315.8999939,181.8141632,175.3000031,0,31.15841484,204.0107117,61.51250076,220.2357635,186.3000031,194.6999969,0.979013383,25.7007122,76.08339691,43.57754517
1546,2019/10/1 8:00,221.5,268.5090332,376.1921082,466.1000061,348.5999756,355.6247253,376.1558228,365.6147461,390.418396,386.6194458,396.7089233,400,404.0905457,245.7316132,390.5558167,393.1594543,391.4589233,397.7415466,207.7578888,2.717273951,194.639679,31.96134567,94.95913696,74756.53125,27.66341782,229.0731049,26.50893402,0.042555541,103.5841675,2.40657115,316.6000061,181.3894043,176.7156219,0,31.48359871,204.9000092,61.94297028,223.8687744,189.1000061,197.1156921,0.979250014,25.52675056,75.22499847,44.23408508
1547,2019/10/1 20:00,218,267.0109253,375.714447,459.1421509,349.230011,355.6626892,373.0800171,365.4599915,387.6646423,386.0273438,395.5846558,400,403.3799744,250.9771271,391.7919922,394.2287292,393.1673279,397.2219849,197.3288727,2.718253613,180.3862915,32.01223373,94.94715118,75960.25,28.246912,225.760788,27.6638813,0.042233616,100.0163956,2.40944767,317.2000122,179.8969879,173.7578888,12.11074734,29.53381157,201.542099,57.20762253,224.6262817,187.2579041,195.2578125,0.982624948,25.66189003,75.42446136,42.95505142
1548,2019/10/2 8:00,217,266.8748474,375.6000061,464.5327454,348.7696228,356.1507874,374.7299805,366.0899963,390.0606079,386.8592224,396.9808044,400,403.980011,243.8330536,390.9403992,392.947998,391.8709717,398.1605835,202.0754852,2.714253426,190.7187805,31.90071106,92.39480591,73423.67188,27.88608932,229.2812347,26.2514534,0.041866839,99.54225159,2.411553621,316.5,177.5263519,173.1999969,0,32.59314728,202.5671692,56.0322876,220.8671722,187.3999939,195,0.974416077,24.99181557,75.37923431,43.93391418
1549,2019/10/2 20:00,215,266.3521118,375.5,464.3999939,348.9299927,355.7399902,373.5044556,365.7533264,389.5088501,387.2166748,397.3544312,400,405.512207,250.7859344,392.1622009,390.7043762,390.4755249,398.4944458,204.2276917,2.713059425,181.9477386,32.01912689,95.10558319,72651.96875,26.96310043,225.714325,27.0661869,0.040540002,100.7827072,2.404496908,316.6000061,179.0802765,172,0,33.42380142,201.0999908,56.04424286,218.1999969,186.6000061,194.3999939,0.976740539,25.52764511,75.23000336,45.47215652
1550,2019/10/3 8:00,216,267.1762695,374.4750061,462.5405884,347.789978,355.0500183,373.5722046,365.5800171,389.0333557,386.7122192,397.0855408,400,405.0899963,243.6856537,392.8805542,389.6639099,388.5777893,397.487793,200.694458,2.71300745,189.3830261,32.00514603,94.82308197,72268.55469,28.08978462,227.347229,26.70790482,0.041091949,100.3605576,2.404710293,315.9797058,177.6585846,171.6999969,0,30.95046806,202.3000031,55.97621918,221.7202148,186.8999939,194.6999969,0.981749952,25.6255722,74.5250473,42.46521759
1551,2019/10/3 20:00,213,266.3986511,372.9499817,464.3851318,347.3699951,353.7322083,372.2144165,364.3200073,387.2399902,385.4655762,395.9956055,400,404.8499756,242.21875,390.1266174,386.8733826,386.0210266,395.9810181,201.8312531,2.717761755,179.8139038,31.93578911,93.0236969,71519.73438,28.14310265,225.6852875,27.3625946,0.042906068,101.1869431,2.412306309,316.3148804,180.5345612,174.4000092,0,33.91824722,199.5075073,56.02586365,217.1150208,187.8999939,195.5999908,0.973768771,25.53019905,72.14499664,46.89704132
1552,2019/10/4 8:00,214,267.1184387,372.7250061,466.1000061,347.1600037,353.5904846,372.7597351,364.6297607,388.2990112,384.63974,395.1495056,400,403.980011,237.7991333,390.9090271,388.582489,386.260498,396.0397644,204.8843536,2.71622467,188.7216949,32.08182907,93.16677856,71800.67188,27.94169426,228.0759277,26.92676353,0.042953804,100.2029648,2.40751791,317.1325684,181.7584076,174.1000061,0,34.01194382,201.3326721,56.04826736,220.165329,187.3000031,195,0.981540859,25.66039848,73.49133301,47.93873215
