序号,日期,航煤90%回收温度,FI10201,TI10503,TE10310,TI10403,TI10406A,TI10408A,TI10409A,TI10411A,TI10412A,TI10413A,TI10414A,TI10425,PDI10404,TI10405,TI10417A,TI10419A,TI10421A,PDI10405,PI10602,FI10601,FI10706,FI10801,FI11006,FI20102,FI20105,FI20104,PI20301,FI20302,FI20301,TE20315,FI20501,TE20304,FI20402,FI20304,TE20302,FI20605,TE20305,TE20303,TE20402,PI20701,FI20701,TI20801,FI20901
1,2015-12-03 08:00:00',217,210.482,324.541,354.6,335.908,345.629,369.149,354.967,362.97,361.367,367.573,372.524,370.92,269.95,365.638,373.501,376.076,382.831,189.256,2.67601,142.202,20.9231,63.3331,46746.8,22.2868,185.996,16.9939,0.0276291,91.2832,2.00401,326.096,132.278,164,25.1067,9.57713,189.7,45.1838,206.096,192.452,196.7,1.06014,16.8366,50.2772,31.3949
2,'2015-12-03 12:00:00',214,209.874,324.085,352.533,335.099,344.36,368.151,354.512,362.37,361.47,367.44,372.19,372.06,267.889,366.631,373.512,375.439,382.12,189.289,2.66977,142.602,21.0109,63.5614,45878,24.7793,188.24,15.5715,0.0288,90.8292,1.99561,325.3,135.09,165.2,25.1291,10.8249,189.8,45.9553,198.8,191.867,195.2,1.05467,16.6129,51.5467,32.6451
3,'2015-12-03 15:00:00',222,210.161,325.304,353.325,335.952,344.808,369.294,354.678,363.114,361.86,368.01,372.45,373.02,269.365,367.524,373.967,376.031,382.483,188.075,2.67336,137.697,21.0101,66.4225,45277.5,24.9289,189.218,17.1088,0.0261288,93.4366,2.00376,324.575,134.842,165.2,24.8977,12.7367,191.025,45.7807,201.025,192.325,196.2,1.05963,15.902,52.5027,34.6584
4,2015-12-03 20:00:00',216,210.45,324.506,352.4,335.31,344.01,367.62,354.715,363.025,361.825,367.62,372.245,372.745,271.971,367.255,374.006,375.549,382.32,189.83,2.67195,134.336,21.0499,68.6239,46847.7,25.3513,189.303,17.2498,0.0310681,97.468,2.00109,321.1,135.058,164.6,24.8622,14.097,186.278,47.3225,203.744,193.2,196.7,1.05939,14.3578,53.0482,35.3476
5,'2015-12-04 00:00:00',213,209.898,325.155,356.3,334.95,343.77,367.607,355.598,366.373,363.994,370.624,375.45,375.368,265.051,367.32,375.917,375.913,381.893,187.957,2.67152,135.148,21.0688,69.5386,46090.1,25.9695,189.574,17.142,0.028075,94.3714,1.98357,320.132,129.107,163.9,24.9755,13.8108,191.034,47.3538,203.632,194.2,198.1,1.06092,14.1115,51.4863,35.292
6,'2015-12-04 04:00:00',214,209.943,324.556,356.3,333.6,341.772,363.03,354.042,364.016,362.58,369.21,374.194,374.606,265.808,367.354,375.906,375.784,381.647,184.518,2.67156,136.185,21.1332,71.681,46549.7,26.0141,188.512,18.1458,0.0292606,98.9808,2.02648,317.096,129.147,166.004,24.5472,13.6252,190.6,47.3923,211.586,196.904,199.4,1.06026,14.3727,51.9594,35.2912
7,2015-12-04 08:00:00',208,210.048,325.457,357.9,334.972,344.022,367.733,355.074,363.342,362.736,368.748,373.698,374.1,268.223,367.71,376.2,376.051,381.719,186.693,2.66866,135.415,20.8978,71.801,47290.4,25.9007,187.33,18.1232,0.0294504,98.3889,1.99115,318.044,127.629,164.5,25.0289,14.9328,187.7,47.6398,205.344,197.022,200.422,1.05686,13.9968,51.2469,36.7041
8,'2015-12-04 12:00:00',210,210.216,326.196,353.3,333.633,342.06,366.164,354.499,363.562,362.948,369.316,374.4,374.826,269.012,368.146,375.862,377.844,383.37,185.516,2.67154,131.152,21.0005,76.743,46076.3,26.3513,186.415,19.0987,0.0279363,98.7334,2.01871,314.578,135.954,164.3,25.0834,15.5479,182.878,48.8894,210.778,198.178,199.9,1.04477,11.3415,53.3618,36.6113
9,'2015-12-04 15:00:00',214,210.531,326.6,354.1,333.201,341.97,366.974,354.863,363.987,363.07,369.374,374.58,375.09,269.269,365.211,374.026,378.09,382.543,188.164,2.67294,131.196,21.0517,74.5725,46098.3,26.8778,186.253,18.9874,0.02834,94.7259,2.01704,316.461,135.031,163.28,25.2185,16.4558,184.42,52.9928,216,194.38,198.5,1.04912,13.1658,52.4715,40.1659
10,2015-12-04 20:00:00',227.6,210.763,325.905,358.8,335.73,344.769,369.185,355.535,363.609,363.219,369.575,374.905,375.104,270.381,364.636,373.71,376.426,383.086,192.983,2.67314,133.623,21.0667,70.7783,46114.2,26.9224,187.236,17.9337,0.0258222,96.4666,2.02221,322.413,133.815,166.813,25.0525,15.7419,182.4,51.3155,213.551,196.1,200.3,1.00525,13.4719,50.9339,37.7867
11,'2015-12-05 00:00:00',216,210.251,325.933,358.9,335.91,345.06,369.54,358.032,367.722,364.437,370.795,376.165,375.526,268.092,364.747,373.404,376.162,383.584,195.019,2.66678,136.711,21.0112,69.887,45592.7,26.8294,189.583,17.5965,0.026926,96.3745,1.99021,324.413,134.573,171.8,25.3875,10.402,193.362,51.5526,215.862,198.387,203.5,0.998389,12.7813,50.89,32.6375
12,'2015-12-05 04:00:00',216,211.284,325.834,358.8,335.985,345.06,368.711,357.891,367.59,363.999,370.57,376.509,375.45,268.594,364.29,373.3,375.58,383.374,196.767,2.67431,133.748,21.1125,66.9578,46652.6,25.1945,187.357,16.8362,0.0238877,92.3426,1.97981,325.27,135.189,174.7,24.7768,13.6649,191.8,52.3434,221.4,198.1,204.3,1.00064,12.1506,48.8687,36.9957
13,2015-12-05 08:00:00',226,210.15,324.838,360.4,336,345.511,369.27,357.972,367.559,364.127,370.62,376.215,375.51,265.517,364.11,373.288,374.699,382.647,195.613,2.6681,137.384,21.0428,67.076,46048.3,25.1063,184.4,16.8638,0.0238875,88.8123,1.99967,325.2,135.451,172.8,24.44,13.2817,192,52.0249,222.774,195.342,203.1,1.00334,11.6375,49.2281,36.9242
14,'2015-12-05 12:00:00',198,210.169,323.614,356,335.531,345.379,369.731,357.892,367.186,364.266,370.86,376.715,375.824,263.741,363.946,372.365,374.962,382.65,194.716,2.67555,138.404,21.0619,65.8252,47661.8,25.8858,189.48,16.3886,0.0268567,89.2775,1.98156,324.9,135.214,171.919,24.2928,7.66399,194.317,52.2408,216.678,195.739,202.719,1.00077,11.9278,49.675,33.0517
15,'2015-12-05 15:00:00',226,210.016,323.375,357.7,335.885,345.9,369.777,357.965,367.887,364.355,371.067,376.865,376.17,260.718,363.87,372.1,374.62,382.377,194.374,2.66969,141.736,20.9811,63.2695,47768.6,23.9801,189.151,16.3228,0.0260424,86.8258,1.98532,326.3,135.019,170,25.0087,7.44904,193.009,51.6816,214.709,192.2,199.4,1.00039,11.6344,49.2485,33.0045
16,2015-12-05 20:00:00',222,210.152,323.527,356.438,335.635,345.348,368.97,357.955,368.544,364.314,371.25,377.25,376.673,259.666,363.894,372.923,374.322,382.698,192.549,2.6728,138.057,21.0748,64.4051,46563,24.3175,187.623,17.0642,0.0244615,89.2709,1.99471,323.962,134.408,167.062,24.6456,7.83676,192.213,50.0099,206.187,190.5,196.6,1.0073,11.7198,49.5491,33.9879
17,'2015-12-06 00:00:00',220,210.608,323.9,353.8,334.77,344.026,367.77,357.008,369.603,364.437,371.637,377.52,377.155,260.198,364.44,373.023,374.19,383.542,190.718,2.66946,137.766,21.1577,66.9898,47252.1,25.2626,187.73,16.9845,0.02792,91.1642,2.29032,320.9,133.453,166.424,24.5623,8.16138,191.547,49.8125,205.247,191.424,197.5,0.984973,11.2955,49.3,33.1086
18,'2015-12-06 04:00:00',217,209.723,323.853,353.991,334.714,344.134,367.44,357.461,368.31,364.346,371.944,377.762,377.548,260.768,364.468,373.249,374.387,383.56,190.302,2.67229,136.131,20.7916,68.9361,47056.1,24.1056,188.601,18.0277,0.0256393,93.3973,2.26456,317,133.346,166.803,24.7827,12.1818,190.707,50.2596,204.897,194.8,199.5,0.980003,11.4037,49.6078,35.6536
19,2015-12-06 08:00:00',218,209.628,324.025,353.7,334.754,344.22,367.71,357.46,368.24,364.255,371.89,377.93,377.97,259.359,364.415,373.06,374.26,383.61,191.216,2.67053,137.903,20.9159,66.8388,47087.3,24.8985,186.866,17.8026,0.02891,92.4039,2.31591,318.386,135.15,166.8,24.6995,12.9224,189.914,49.8725,204.186,193.7,198.3,0.979625,10.586,49.9069,35.8729
20,'2015-12-06 12:00:00',216,209.187,324.489,353.498,334.798,344.07,367.95,356.882,369.211,364.197,371.37,377.55,377.88,259.802,364.382,373.079,374.248,383.46,192.231,2.67417,137.562,20.8525,67.2487,46607.5,25.5198,186.123,17.7516,0.0278628,92.5197,2.33644,316.998,135.592,166.3,24.8304,12.4964,189.198,48.41,202.698,193.4,197.7,0.97225,12.41,49.8415,36.5564
21,'2015-12-06 15:00:00',214,210.925,324.21,353.982,334.871,344.316,368.154,357.204,369.276,364.212,371.358,377.4,377.67,260.705,364.53,373.068,374.256,383.466,192.315,2.67548,136.002,21.0413,68.0991,46527.9,26.1141,186.519,17.6952,0.0292572,95.0017,2.28494,317.3,135.692,166.417,24.3666,12.7412,188.8,51.0422,203.9,194,198.317,0.975788,10.4775,49.495,36.5488
22,2015-12-06 20:00:00',216,210.16,324,354.1,334.59,343.89,367.29,357.03,369.48,364.41,371.25,377.55,378.03,259.3,364.32,373.14,374.19,383.28,193,2.6706,136.425,20.808,65.8515,47202,25.685,188.832,16.686,0.02822,93.534,2.267,318.9,133.056,165.9,24.876,12.6272,192.9,49.945,203,193,198.2,0.960375,10.18,49.3,35.6532
23,'2015-12-07 00:00:00',214,209.698,323.807,353.353,334.616,343.864,367.354,357,369.664,364.536,371.777,377.837,378.33,258.968,365.238,373.256,374.537,383.487,193.636,2.66649,140.63,20.9384,64.0343,47559.3,24.9425,187.68,16.0965,0.0293728,92.6835,2.29725,319.1,134.706,166.7,24.5372,13.0768,191.596,49.375,202.004,193.1,197.7,0.959812,10.7737,48.7699,35.9308
24,'2015-12-07 04:00:00',221,208.736,325.624,351.5,334.741,344.46,368.49,357.93,367.53,364.229,371.25,377.1,377.609,259.581,365.671,373.501,376.65,383.22,186.854,2.67539,128.55,20.891,71.4752,46165.1,26.4513,183.618,18.2264,0.0263215,93.7258,2.32623,317.9,135.116,166.7,24.5371,14.3501,191.297,50.4943,205.803,194.1,199,0.959882,10.5264,48.9885,37.7768
25,2015-12-07 08:00:00',219,210.07,324.142,353,334.56,343.954,367.922,357.002,368.936,364.77,371.67,377.698,378.39,259.729,365.97,373.478,374.46,383.614,193.948,2.67002,138.106,20.9919,66.1639,46123.7,25.9449,187.267,16.3283,0.0281014,92.5345,2.32159,319.2,134.846,166.2,24.7352,14.0319,193.8,50.27,204.593,191.5,196.8,0.949624,9.88406,49.0051,35.0721
26,'2015-12-07 12:00:00',222,210.064,324.844,352.62,334.961,344.351,367.77,357.559,368.79,364.226,370.943,376.806,377.97,261.624,366.78,374.351,375.101,384.101,190.319,2.66949,137.867,21.1043,70.229,45514.7,26.3016,185.896,17.5561,0.0258432,94.365,2.32714,317.92,134.577,166.9,24.2462,13.0117,191.159,52.4293,204.6,192.78,198,0.949625,10.8658,49.4182,36.9654
27,'2015-12-07 15:00:00',220,210.36,324.999,351.519,334.44,343.566,367.2,357.289,368.1,364.074,371.07,376.794,377.97,262.76,367.399,374.61,375.643,384.101,190.451,2.67171,136.257,20.9913,71.764,45703.2,28.0793,187.308,18.3696,0.0246951,96.78,2.27189,314.581,133.068,166.019,24.8918,14.035,188.8,51.9668,205.257,194.5,199,0.949399,10.5288,50.3581,36.1694
28,2015-12-07 20:00:00',215,210.597,324.774,353.7,335.13,344.325,367.41,357.615,367.95,363.99,370.635,376.53,377.67,264.513,367.08,374.7,375.555,384.015,193.589,2.67175,135.531,21.1197,70.2955,46252.8,27.1865,187.756,17.4172,0.031085,97.8941,2.319,319.2,132.609,166.175,25.163,6.7616,188.649,52.0788,205.927,194,198.6,0.949,9.901,50.3938,34.9058
29,'2015-12-08 00:00:00',218,209.22,324.538,352.15,334.62,343.845,367.08,357.57,367.74,364.372,370.822,376.612,377.67,262.556,366.705,374.76,375.525,384.172,191.888,2.6719,133.918,21.0018,69.8551,46831,25.8383,186.756,17.7857,0.0263799,93.1717,2.27863,316.025,134.202,166,24.986,15.3437,189.85,48.4338,205.624,193.45,198.5,0.948501,21.7681,50.2379,40.0997
30,'2015-12-08 04:00:00',216,210.111,324.642,352.6,334.774,344.078,367.38,357.484,368.01,364.385,370.8,376.62,377.61,261.256,366.75,374.491,375.596,384.03,192.397,2.67199,135.75,20.9135,68.6981,45987.4,24.6689,186.62,17.796,0.0256304,94.0888,2.29644,317.3,134.795,166.5,24.6141,16.0849,189.044,48.2026,203.844,194.9,198.8,0.989015,0.67472,49.2412,38.2317
31,2015-12-08 08:00:00',216,209.403,324.479,352.543,334.56,343.916,367.2,357.346,367.358,364.204,370.646,376.196,377.443,261.995,366.84,374.661,375.459,383.876,191.622,2.67377,137.947,21.0446,69.0359,46684.5,23.9261,184.953,18.1107,0.0250427,92.153,2.31626,317.057,134.593,166,24.7949,15.4953,189.243,48.6473,205.543,193.5,198.115,0.954982,8.39029,48.0179,37.8372
32,'2015-12-08 12:00:00',214,209.938,324.69,352.359,334.685,343.71,366.66,357.378,367.973,364.348,370.775,376.14,377.22,263.775,367.05,374.547,375.905,384.153,190.823,2.6676,135.721,21.0813,69.0444,46370.9,24.4686,186.078,18.8947,0.0250613,95.8093,2.30697,317.3,134.7,166.6,25.293,8.56243,187.317,50.4083,205.559,193.659,198.6,0.937875,7.51301,49.2974,35.0375
33,'2015-12-08 15:00:00',218,210.132,324.945,352.6,334.56,343.554,366.474,356.988,368.43,364.2,370.788,376.11,377.46,261.71,367.2,374.748,375.732,383.874,190.305,2.67736,135.267,21.0696,70.3664,45555.6,23.7028,185.126,19.7433,0.021584,93.3975,2.3064,317.62,133.536,166.14,25.2344,9.15712,190.06,48.664,205.66,193.36,198.9,0.939575,0.8608,49.704,36.3111
34,2015-12-08 20:00:00',221,210.016,325.078,352.6,334.798,343.973,367.117,357.648,368.04,364.05,370.788,376.11,377.093,262.601,367.068,374.551,375.653,384.205,190.302,2.67431,132.193,21.0771,72.1551,45922.2,24.3176,185.665,19.2229,0.0238851,91.3265,2.29738,312.7,134.247,166.245,24.702,10.6345,193.2,52.1894,209.077,192.8,197.323,1.04708,26.3095,47.3297,40.4959
35,'2015-12-09 00:00:00',219.6,210.682,325.01,351.525,334.718,343.808,366.57,357.495,367.778,363.922,370.8,376.568,377.276,264.058,366.964,374.861,375.679,384.319,192.757,2.67265,133.93,21.0895,71.4139,45493.3,26.0904,185.855,19.3086,0.0236224,93.3698,2.30817,316.1,135.087,166.363,25.1622,13.1215,189.037,51.7757,208.325,193.4,199,1.05022,19.2133,46.0625,37.6599
36,'2015-12-09 04:00:00',219,210.444,325.032,351.928,334.658,343.77,366.81,357.587,367.568,363.9,370.781,376.41,377.029,264.323,366.881,374.958,375.75,384.283,193.022,2.6703,135.359,21.0695,70.6215,45830.4,25.8467,186.372,19.4599,0.0272504,95.125,2.30242,317.5,135.421,166.5,24.9973,10.3269,186.5,50.263,205.736,193.5,198.436,1.04686,14.6547,48.3386,41.1806
37,2015-12-09 08:00:00',220,210.18,325.033,351.9,334.798,343.851,366.771,357.64,367.551,364.019,370.74,376.311,376.8,264.595,366.891,374.722,375.669,384.519,192.204,2.67182,136.644,21.1074,71.622,45827.8,25.532,186.622,19.3053,0.0259,95.5083,2.29755,316.2,135.353,166.3,24.7341,9.51672,188.465,51.8773,205.396,193.8,198.535,1.05071,11.2691,49.4289,38.6027
38,'2015-12-09 12:00:00',220,209.9,325.55,356.095,334.923,344.34,367.319,357.633,367.167,364.29,370.92,376.347,376.95,263.804,366.896,374.913,375.777,384.299,191.624,2.67375,132.743,21.1156,72.8419,45582,25.6561,185.074,19.2997,0.0354016,99.2746,2.26784,317.009,135.468,166.1,24.7397,7.9209,182.092,52.5002,204.712,193.6,199.2,1.04938,10.907,50.539,37.9096
39,'2015-12-09 15:00:00',218,209.323,325.474,356.389,335.059,344.28,367.32,357.612,367.104,364.328,371.103,376.618,377.07,263.555,366.72,374.889,375.69,384.294,192.275,2.67057,132.02,21.0371,72.7912,46010.3,25.2912,184.8,19.3405,0.0243557,97.5114,2.31395,316.6,152.347,166.805,25.2358,15.3526,190.095,52.6213,200.879,193.2,198.795,1.05012,11.6192,49.3311,40.9186
40,2015-12-09 20:00:00',221,208.551,325.45,357.1,335.46,344.85,368.07,357.639,366.66,364.395,371.102,376.616,376.86,265.214,366.57,375.261,375.87,384.304,193.093,2.67677,134.038,21.2184,71.6135,45726.6,26.0121,183.728,19.0308,0.0226027,94.5406,2.29162,317.5,137.407,166.5,24.6216,11.8003,193.2,52.919,204.407,191.3,197.7,1.04102,11.1021,48.45,39.9977
41,'2015-12-10 00:00:00',222,209.996,325.381,356.5,335.392,344.493,368.157,357.753,366.477,364.328,371.427,376.735,377.133,263.88,366.592,374.657,375.717,384.398,191.639,2.6701,134.883,21.1067,72.2823,46558,26.2201,184.739,19.0772,0.02254,97.6063,2.2982,316.4,138.418,166.6,24.4955,7.744,188.9,52.6208,205.992,193,198.6,1.04036,10.9773,48.19,37.8695
42,'2015-12-10 04:00:00',222,209.468,325.262,357.6,335.46,344.97,368.856,357.919,366.611,364.29,371.487,376.83,377.16,264.814,366.75,374.704,375.712,384.246,191.513,2.67356,133.713,21.1037,71.97,46631.9,25.9081,185.449,19.6847,0.0231093,95.6039,2.33099,316.5,135.962,166.2,24.6317,11.6665,190.191,52.3868,206.6,192.1,198.3,1.03989,10.7271,48.2605,38.6241
43,2015-12-10 08:00:00',220,209.857,325.25,357.821,335.38,344.97,368.706,357.616,366.714,364.26,371.31,376.68,377.166,263.13,366.756,375.216,375.63,384.246,191.149,2.67231,135.909,21.0522,71.5842,46727.4,25.9274,185.826,19.4169,0.0241736,96.2336,2.27413,317.111,136.324,166.4,25.3029,10.0586,191.3,52.2355,207.379,193,198.9,1.03976,10.4325,48.4536,38.68
44,'2015-12-10 12:00:00',221,215.122,324.95,358.7,335.959,344.79,368.003,357.037,366.18,363.499,370.477,375.63,377.07,265.673,366.87,373.946,375.676,384.247,195.059,2.67198,140.715,20.9141,70.0417,47267.5,24.908,190.211,18.681,0.025432,98.2409,2.31588,318,136.657,166.512,25.0645,8.91418,189.776,56.879,207,195.3,200.688,1.04037,10.2781,48.6462,38.0103
45,'2015-12-10 15:00:00',220,215.173,325.362,358.7,336.082,344.88,368.07,356.89,366.008,363.262,370.114,375.158,377.01,263.437,366.912,373.266,375.224,384.09,193.093,2.67213,138.753,21.014,71.6989,45805.2,25.6051,190.835,19.7706,0.0255626,99.7416,2.31888,317.7,135.959,166.213,24.7851,8.33707,190,52.918,210.6,195.4,200.5,1.04025,9.584,49.4727,37.8091
46,2015-12-10 20:00:00',217,220.749,324.985,359.2,336,344.499,367.779,356.841,365.97,363.08,369.57,374.67,376.41,268.428,366.069,374.772,375.681,384.6,200.196,2.67303,147.25,21.0907,69.2997,46653.3,24.34,195.268,19.5062,0.0270747,96.4779,2.3172,318.915,136.083,166.056,25.1717,8.59268,188.9,54.3069,206.088,193.2,198.6,1.03984,8.89931,48.4447,38.717
47,'2015-12-11 00:00:00',221,219.85,325.38,359.616,336.646,345.47,369.155,356.794,365.945,362.65,369.466,374.515,376.16,270.866,366.42,374.599,375.98,384.21,198.885,2.67214,142.646,21.0268,71.5512,47189.5,25.2306,194.346,19.3002,0.0263128,96.0002,2.32013,319.284,137.374,166.484,24.8896,8.57062,191,54.4728,207.184,193.9,198.9,1.04021,9.20784,47.4824,38.6313
48,'2015-12-11 04:00:00',218,220.147,325.584,360.4,337.12,346.27,370.65,357.094,366.47,362.721,369.545,374.64,376.31,268.878,366.11,374.267,375.75,384.22,197.022,2.67423,142.634,21.1118,72.3498,47319,24.6235,192.077,20.4906,0.0257723,98.6314,2.28166,320.3,136.631,166.317,24.9539,7.1587,189.135,53.8963,206.752,193.617,198.9,1.03983,9.82619,49.3319,36.6082
49,2015-12-11 08:00:00',220,220.109,325.523,358.8,336.919,345.804,370.02,357.03,366.756,362.809,369.186,374.531,375.936,269.977,366.12,374.304,375.892,384.27,198.753,2.67664,143.212,21.0528,71.2672,47271.5,25.6195,195.135,19.5896,0.0287525,97.3825,2.29058,321,135.545,166.181,25.1262,9.3076,192.281,54.62,207.063,193.3,198.881,1.0394,9.81115,48.4793,38.5941
50,'2015-12-11 12:00:00',223,225.388,325.84,360.82,337.59,346.398,370.182,357.438,367.386,363.402,369.858,375.012,376.704,270.71,366.54,374.754,376.224,384.264,200.095,2.67396,147.115,21.0436,72.8494,47094,26.4018,197.926,20.8017,0.025896,102.503,2.2745,320.72,138.66,166.28,24.7168,7.71008,187.88,54.165,210.76,195.9,200.3,1.04022,10.5848,49.612,39.5745
51,'2015-12-11 15:00:00',216,225.356,326.609,355.8,337.003,345.72,370.434,357.339,367.667,363.521,369.943,375.107,376.62,274.794,366.996,375.257,376.974,385.239,199.028,2.67767,142.668,21.0993,77.6791,48855.3,26.95,197.916,21.6017,0.0226917,100.366,2.3246,316.979,134.684,166.472,25.0424,11.0022,187.7,54.4291,211.057,195.8,200.7,1.02217,10.7306,54.2317,39.499
52,2015-12-11 20:00:00',213,224.14,326.347,356.4,335.977,344.43,367.95,357.32,367.823,363.63,370.064,375.33,376.906,274.004,367.15,375.97,377.28,385.064,198.852,2.67594,140.651,21.0762,78.2755,48670.6,26.7043,198.74,21.6208,0.0272845,102.577,2.27268,315.9,133.533,165.777,25.0595,13.22,184.077,54.8237,211.3,197.8,201.3,1.0174,12.53,49.3223,41.4221
53,'2015-12-12 00:00:00',213,225.174,326.2,357.3,336.292,345.046,368.474,357.466,367.463,363.48,369.826,375.263,376.327,275.948,366.893,375.914,377.87,384.884,199.607,2.67421,146.333,20.9815,76.7398,49184.2,25.5156,198.321,21.6407,0.0269696,102.603,2.3238,319.4,133.695,166.224,25.2696,12.9297,187.272,54.5372,216.848,197.3,201.476,1.01778,13.556,50.888,41.5936
54,'2015-12-12 04:00:00',216,224.305,325.862,358.5,336.36,344.79,367.56,357.36,367.305,363.547,369.795,374.918,375.892,275.918,366.66,376.012,377.596,384.975,199.32,2.676,143.461,21.0753,76.103,50215.8,25.589,198.658,21.2507,0.0255251,101.038,2.28179,319.825,132.759,166.275,25.1163,13.4276,186.9,54.433,213.649,196.9,201.525,1.01778,13.9689,51.1488,40.9273
55,2015-12-12 08:00:00',216,224.487,326.092,357.9,336.45,344.858,367.664,357.166,367.604,363.586,369.794,374.91,375.66,274.105,366.632,376.016,377.732,385.23,197.74,2.67413,145.604,21.0756,75.8,50392.8,26.1933,198.874,21.0693,0.025376,99.9075,2.28455,320.5,131.144,166.6,24.7,13.8709,188.427,54.0227,211.953,196.6,201,1.01741,14.3389,50.7693,41.5335
56,'2015-12-12 12:00:00',216,225.285,326.514,358.3,336.595,345.322,368.91,357.244,368.597,363.732,370.153,375.253,376.11,272.347,366.66,375.878,377.777,384.823,197.181,2.67383,143.4,19.984,76.7257,51141.1,25.7449,200.593,20.0909,0.0261936,101.021,2.2821,320.584,133.572,166.2,25.1946,13.4794,190.272,54.184,216.284,197,201.5,1.01812,14.0366,51.6138,39.5238
57,'2015-12-12 15:00:00',216,225.126,326.091,358.9,335.31,343.47,366.972,356.781,367.869,363.528,369.99,374.958,375.81,271.331,367.011,375.888,377.684,384.822,195.578,2.675,144.695,20.0333,76.0024,50514.5,26.2746,200.324,19.5773,0.0278483,102.779,2.31488,320.871,133.427,165.529,24.6642,13.353,187.429,55.4791,210.835,195.3,199.5,1.01666,14.1062,52.785,39.4577
58,2015-12-12 20:00:00',218,224.918,326.775,356.2,336.27,344.63,367.58,356.839,368.389,363.67,369.99,375.02,375.87,270.692,367.111,375.85,378.049,384.751,194.99,2.67567,142.017,19.9332,77.9692,50724.4,26.6221,200.776,19.9081,0.0310392,101.083,2.2857,321.2,132.459,166.134,25.0193,14.4059,189.934,55.5513,213.398,195,200.4,1.01675,14.3766,52.94,40.3388
59,'2015-12-13 00:00:00',215,225.162,325.759,360,336.45,344.561,365.919,356.509,367.841,363.192,369.618,374.601,375.399,270.835,367.149,375.979,377.742,384.801,193.04,2.67967,143.979,19.991,77.9786,52044.8,26.1202,200.54,20.1928,0.0309812,104.804,2.27293,319.7,131.672,166.565,24.9599,14.8216,188.3,55.6533,224.229,195.735,199.135,1.01954,15.4414,53.2538,40.7811
60,'2015-12-13 04:00:00',215,225.187,326.496,357.2,336.248,344.847,368.13,357.308,367.89,363.586,369.919,375.082,375.87,269.643,367.26,375.927,377.591,384.78,193.369,2.67445,140.645,20.0099,79.5323,50026.8,26.9574,199.522,21.0981,0.0289073,104.639,2.29742,319.173,132.195,165.9,25.0916,18.138,187.363,55.5823,215.1,198,202.2,1.01801,15.4753,52.0863,42.3847
61,2015-12-13 08:00:00',216,224.925,326.4,357.838,336.566,345,367.62,357.363,367.343,363.487,369.787,375.06,375.806,270.938,367.099,375.923,377.663,384.614,194.615,2.67637,142.952,20.027,78.9321,49005.5,27.2928,199.761,20.7222,0.02916,104.345,2.30067,320.062,132.842,166.3,25.2153,18.1139,187.2,55.8774,216.238,198.2,202.3,1.01775,15.3941,52.6907,42.3716
62,'2015-12-13 12:00:00',216,230.344,326.201,360.139,337.41,345.756,368.034,357.72,367.398,363.781,369.834,374.91,375.636,275.464,367.205,375.786,377.926,384.708,198.335,2.67572,147.949,20.0448,78.9033,48740.9,27.0093,205.549,20.5918,0.0282477,104.734,2.32431,321.178,139.321,166.8,24.6939,18.3569,188.139,55.4213,217.883,196.3,201.2,1.01795,15.5561,52.2561,42.982
63,'2015-12-13 15:00:00',216,233.256,326.5,360.8,337.26,345.666,368.946,357.306,367.038,363.864,369.87,374.91,375.87,278.915,367.134,375.876,377.988,384.822,202.33,2.67444,150.665,20.069,77.9155,49135.2,26.2491,207.446,20.7864,0.028328,104.45,2.29805,323.2,140.938,165.8,25.1176,17.8483,187.38,57.616,211.66,195.4,200.8,1.0183,15.5736,52.429,42.0616
64,2015-12-13 20:00:00',216,235.641,327.696,363.458,339.48,348.115,372.17,357.54,367.41,365.255,371.138,376.045,377.203,279.723,368.203,376.565,379.255,384.59,201.759,2.68145,149.928,20.0407,81.2232,49154,27.0279,209.774,21.4294,0.0300152,109.433,2.30536,321.541,144.483,166.2,24.8449,17.4385,186.8,58.8914,215,196.3,200.741,1.01693,15.3118,53.0095,42.6417
65,'2015-12-14 00:00:00',218,234.722,327.45,362.443,339.772,348.78,373.38,357.926,367.783,365.006,371.55,376.616,377.558,283.463,367.23,375.472,378.634,385.024,206.018,2.67446,149.429,20.0554,80.5635,51681.7,26.9253,209.199,21.0837,0.03028,107.811,2.29512,321.257,139.284,166.557,25.004,18.0056,189.557,58.8654,216.1,197,201.8,1.01466,15.9046,52.7244,41.6062
66,'2015-12-14 04:00:00',219,235.252,327.73,359.4,338.794,347.82,373.17,357.449,366.21,364.89,371.61,376.77,377.88,280.782,366.93,375.563,378.72,385.093,205.285,2.67722,152.01,19.9269,79.0468,49994.4,27.609,208.584,20.9619,0.0295576,106.221,2.30063,322.5,140.233,166.3,25.2658,17.3175,189.888,58.5614,215.356,196.8,201.8,1.01571,15.8461,52.739,41.8217
67,2015-12-14 08:00:00',221,235.681,327.977,359.1,338.97,347.97,373.246,357.305,366.93,364.936,371.4,376.77,378.27,279.851,366.93,375.357,378.687,384.892,204.405,2.67749,150.392,20.0212,80.0282,49925.8,27.2171,208.536,21.0309,0.0294653,106.31,2.28405,321.255,141.301,166.1,25.0178,17.9799,189,58.2047,218.555,197.4,202.2,1.01693,15.5657,53.0623,42.9324
